http://unfccc.int/files/adaptation/application/pdf/ge.pdf,Technologies that build climate resilience,General Electric,Water Management,Water resources,India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/-Allianz.pdf,Insuring against climate impacts and rewarding sustainable business practices,-Allianz,Financial Services,Business,India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/ankur.pdf,Renewable energy building resilience of island communities,Ankur Scientific Technologies Pvt. Ltd.,Energy and Utilities; Science and Technology,"Transport, infrastructure and human settlements; Renewable energy systems",India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/basix.pdf,Microinsurance reducing farmers’ exposure to weather risk,BASIX and ICICI Lombard,Financial Services,"Food security, agriculture, forestry and fisheries",India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/greenfield_hydroponics.pdf,Climate controlled greenhouses,"Greenfield Hydroponics Systems, Inc.",Agriculture,"Food security, agriculture, forestry and fisheries",India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/itc.pdf,Adaptation to climate change impacts through diversification of farming systems,ITC Limited,Agriculture,"Food security, agriculture, forestry and fisheries",India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/pepsico.pdf,Replenishing water,Pepsico India,Foodand Beverages,"Food security, agriculture, forestry and fisheries; Water resources",India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/rabobank.pdf,Expertise reduces climate change risks for most vulnerable,Rabobank,Financial Services,Education and training,India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/tata.pdf,mKRISHI: Empowering rural farmers,Tata International Limited (Tata Consultancy Services),Telecommunications,"Education and training; Food security, agriculture, forestry and fisheries; Science, assessment, monitoring and early warning; Water resources",India,IND,0,0
http://unfccc.int/files/adaptation/application/pdf/jammu_and_kashmir_cooperative.pdf,Adapting to climate change by growing medicinal and aromatic plants,Fasiam Agro Farms; Jammu & Kashmir Medicinal & Aromatic Plants (MAP) Growers' Cooperative,Agriculture,"Business; Education and training; Food security, agriculture, forestry and fisheries",India,IND,0,0
